time,x,y,distance,velocity
0,-9.56689,3.39476,,
0.1,-9.31018,3.04109,0.437013,4.37013
0.2,-9.35919,2.82106,0.225428,2.25428
0.3,-9.27383,2.7328,0.122783,1.22783
0.4,-9.16384,2.57122,0.195464,1.95464
0.5,-9.12685,2.44457,0.131944,1.31944
0.6,-9.09528,2.31274,0.135554,1.35554
0.7,-9.10834,2.32834,0.0203436,0.203436
0.8,-9.16363,2.31507,0.0568565,0.568565
0.9,-9.19275,2.34583,0.0423583,0.423583
1,-9.27165,2.6314,0.296274,2.96274
1.1,-9.43352,3.15248,0.545643,5.45643
1.2,-9.38192,3.3675,0.221118,2.21118
1.3,-9.24271,3.3131,0.149464,1.49464
1.4,-9.15914,3.61851,0.31663,3.1663
1.5,-8.63471,3.58066,0.525793,5.25793
1.6,-7.8168,3.5044,0.821452,8.21452
1.7,-7.3179,3.35758,0.520061,5.20061
1.8,-7.02359,3.55599,0.354933,3.54933
1.9,-6.67785,3.60453,0.349136,3.49136
2,-6.66081,3.58097,0.0290709,0.290709
2.1,-6.84715,3.5015,0.202576,2.02576
2.2,-7.00895,3.59652,0.187633,1.87633
2.3,-7.01921,3.67975,0.083867,0.83867
2.4,-7.10735,3.83894,0.181961,1.81961
2.5,-7.23693,4.06287,0.258714,2.58714
2.6,-7.38838,4.30427,0.284978,2.84978
2.7,-7.54704,4.39451,0.182524,1.82524
2.8,-7.47294,4.37092,0.077764,0.77764
2.9,-7.49287,4.34592,0.0319767,0.319767
3,-7.48714,4.32094,0.0256306,0.256306
3.1,-7.52041,4.2577,0.0714587,0.714587
3.2,-7.59149,4.26057,0.0711359,0.711359
3.3,-7.90786,4.52883,0.414791,4.14791
3.4,-8.42713,4.73396,0.558319,5.58319
3.5,-8.90068,4.85162,0.487945,4.87945
3.6,-8.86153,4.80554,0.060463,0.60463
3.7,-8.81873,4.81008,0.0430331,0.430331
3.8,-8.87035,4.82874,0.0548834,0.548834
3.9,-8.97713,4.89503,0.125684,1.25684
4,-8.93614,4.89693,0.0410311,0.410311
4.1,-8.9058,4.88989,0.0311503,0.311503
4.2,-8.94035,4.85501,0.0491046,0.491046
4.3,-9.00577,4.72726,0.143522,1.43522
4.4,-9.10518,4.73001,0.0994497,0.994497
4.5,-9.10453,4.70638,0.0236442,0.236442
4.6,-9.00367,4.65749,0.112087,1.12087
4.7,-8.80433,4.595,0.2089,2.089
4.8,-9.0921,4.61156,0.288244,2.88244
4.9,-9.1149,4.60638,0.0233816,0.233816
5,-9.10125,4.59579,0.0172759,0.172759
5.1,-8.98622,4.63544,0.121664,1.21664
5.2,-9.06684,4.79747,0.180983,1.80983
5.3,-9.53788,4.90101,0.482278,4.82278
5.4,-9.647,4.86391,0.11526,1.1526
5.5,-9.54734,4.8488,0.100804,1.00804
5.6,-9.13684,4.6249,0.467587,4.67587
5.7,-8.94279,4.43861,0.269001,2.69001
5.8,-9.15027,4.399,0.211226,2.11226
5.9,-9.21739,4.48425,0.108504,1.08504
6,-9.175,4.46494,0.0465805,0.465805
6.1,-9.06865,4.29828,0.197699,1.97699
6.2,-8.82828,4.46566,0.292908,2.92908
6.3,-8.05815,4.80656,0.842206,8.42206
6.4,-7.25296,5.12226,0.86487,8.6487
6.5,-5.99758,5.34355,1.27474,12.7474
6.6,-4.442,5.21137,1.56119,15.6119
6.7,-3.01261,5.07538,1.43584,14.3584
6.8,-1.96886,4.7929,1.08129,10.8129
6.9,-1.05486,4.49868,0.960197,9.60197
7,-0.0291078,3.97814,1.15027,11.5027
7.1,1.00048,2.98292,1.43196,14.3196
7.2,1.6426,2.64026,0.727823,7.27823
7.3,2.1527,2.61083,0.510948,5.10948
7.4,2.33687,2.59389,0.184947,1.84947
7.5,2.43667,2.44229,0.181497,1.81497
7.6,2.83755,2.35591,0.410086,4.10086
7.7,3.45385,2.26556,0.622883,6.22883
7.8,4.19727,2.31847,0.745301,7.45301
7.9,4.9434,2.38285,0.748907,7.48907
8,5.4536,2.38635,0.510214,5.10214
8.1,5.41882,2.57447,0.191312,1.91312
8.2,5.14399,2.56241,0.275097,2.75097
8.3,4.62104,2.57021,0.523002,5.23002
8.4,4.52815,2.5588,0.0935865,0.935865
8.5,4.62566,2.51997,0.104958,1.04958
8.6,4.6995,2.48246,0.0828206,0.828206
8.7,4.75478,2.52229,0.0681283,0.681283
8.8,4.78983,2.51537,0.0357266,0.357266
8.9,4.75337,2.48712,0.0461196,0.461196
9,4.64989,2.5568,0.124754,1.24754
9.1,4.50445,2.71141,0.212265,2.12265
9.2,4.28767,2.70706,0.216828,2.16828
9.3,4.22443,2.81987,0.129331,1.29331
9.4,4.0949,2.84642,0.132224,1.32224
9.5,4.06245,2.84162,0.0328058,0.328058
9.6,4.04501,2.85234,0.020475,0.20475
9.7,3.97631,2.84203,0.0694626,0.694626
9.8,3.8163,2.81656,0.162024,1.62024
9.9,3.45935,2.60781,0.413511,4.13511
10,2.99979,2.39804,0.505176,5.05176
10.1,2.35215,2.40533,0.647674,6.47674
10.2,1.78491,2.53746,0.582432,5.82432
10.3,1.31661,2.46463,0.47393,4.7393
10.4,0.126182,2.29484,1.20247,12.0247
10.5,-1.14451,2.26471,1.27105,12.7105
10.6,-2.10063,2.17659,0.960174,9.60174
10.7,-3.30434,2.11608,1.20522,12.0522
10.8,-4.30331,2.145,0.999392,9.99392
10.9,-5.06954,2.02466,0.775617,7.75617
11,-5.16067,2.13365,0.142072,1.42072
11.1,-5.22972,2.11181,0.0724296,0.724296
11.2,-4.91327,2.23111,0.338196,3.38196
11.3,-4.68196,2.55865,0.400986,4.00986
11.4,-4.64333,2.78026,0.224946,2.24946
11.5,-4.61515,2.76009,0.0346557,0.346557
11.6,-4.64952,2.70494,0.0649807,0.649807
11.7,-4.71413,2.78227,0.100769,1.00769
11.8,-4.75431,2.81266,0.0503782,0.503782
11.9,-4.61382,2.73356,0.161232,1.61232
12,-4.79234,2.3682,0.406641,4.06641
12.1,-5.24325,2.24045,0.468657,4.68657
12.2,,,,
12.3,-5.99364,2.19071,,
12.4,-6.04401,2.29329,0.114279,1.14279
12.5,-5.98188,2.25761,0.071653,0.71653
12.6,-6.03935,2.14349,0.12777,1.2777
12.7,-6.13941,2.05331,0.134698,1.34698
12.8,-6.17401,2.01945,0.0484108,0.484108
12.9,-6.03361,1.97213,0.148163,1.48163
13,-6.02212,1.9886,0.0200746,0.200746
13.1,-6.01008,2.01334,0.0275236,0.275236
13.2,-5.90457,1.96546,0.115862,1.15862
13.3,-5.9177,1.95376,0.0175884,0.175884
13.4,-5.95724,1.95332,0.039536,0.39536
13.5,-5.94317,1.96475,0.0181253,0.181253
13.6,-5.97988,2.17414,0.212577,2.12577
13.7,-5.89902,2.31582,0.163127,1.63127
13.8,-5.57582,2.5741,0.413722,4.13722
13.9,-5.47364,2.7598,0.211955,2.11955
14,-5.42222,2.9988,0.244476,2.44476
14.1,-5.33273,3.12963,0.158506,1.58506
14.2,-5.3424,3.25068,0.121438,1.21438
14.3,-5.36812,3.28003,0.0390202,0.390202
14.4,-5.26121,3.63251,0.368336,3.68336
14.5,-4.73189,3.61515,0.5296,5.296
14.6,-4.20444,3.49785,0.540342,5.40342
14.7,-3.82421,3.47834,0.380723,3.80723
14.8,-3.48566,3.48242,0.338576,3.38576
14.9,-2.6971,3.70914,0.820508,8.20508
15,-2.09012,3.80691,0.614799,6.14799
15.1,-1.61092,4.21567,0.629852,6.29852
15.2,-1.12567,4.17071,0.487332,4.87332
15.3,-0.604087,4.06972,0.531271,5.31271
15.4,0.0277434,4.13992,0.635718,6.35718
15.5,0.902537,4.26322,0.88344,8.8344
15.6,1.44212,4.08636,0.567833,5.67833
15.7,2.30299,4.204,0.868872,8.68872
15.8,2.96578,4.19692,0.66282,6.6282
15.9,3.46246,4.00603,0.532102,5.32102
16,3.87629,3.90241,0.426604,4.26604
16.1,4.69379,3.32951,0.998265,9.98265
16.2,5.66794,2.84474,1.0881,10.881
16.3,6.39709,2.40852,0.849672,8.49672
16.4,7.14358,2.23382,0.766658,7.66658
16.5,7.40834,2.19608,0.267442,2.67442
16.6,7.45131,2.18136,0.0454133,0.454133
16.7,7.60837,2.18092,0.157067,1.57067
16.8,7.66737,2.201,0.0623186,0.623186
16.9,7.5917,2.24598,0.0880303,0.880303
17,7.58142,2.23636,0.0140734,0.140734
17.1,7.63548,2.21565,0.0578849,0.578849
17.2,7.67841,2.21852,0.0430291,0.430291
17.3,7.66698,2.20973,0.0144236,0.144236
17.4,7.70371,2.19723,0.0387985,0.387985
17.5,7.72741,2.20062,0.0239371,0.239371
17.6,7.73643,2.20504,0.0100427,0.100427
17.7,7.68528,2.23076,0.0572531,0.572531
17.8,7.66491,2.22731,0.0206622,0.206622
17.9,8.11793,2.10138,0.470201,4.70201
18,8.85194,2.04128,0.736468,7.36468
18.1,9.40037,1.98124,0.551702,5.51702
18.2,9.49815,1.95746,0.100629,1.00629
18.3,9.41964,1.95867,0.078518,0.78518
18.4,9.47601,1.94762,0.0574463,0.574463
18.5,9.65293,1.92188,0.178779,1.78779
18.6,9.76733,1.95514,0.119137,1.19137
18.7,9.8453,1.93612,0.0802489,0.802489
18.8,10.0534,1.92865,0.208288,2.08288
18.9,10.1103,1.90034,0.0634795,0.634795
19,10.2418,1.88871,0.132011,1.32011
19.1,10.2177,1.90332,0.0281216,0.281216
19.2,10.2334,1.90863,0.016571,0.16571
19.3,10.2892,1.9058,0.0558781,0.558781
19.4,10.3941,1.96162,0.118781,1.18781
19.5,10.5108,1.94973,0.117306,1.17306
19.6,10.6997,1.93521,0.189434,1.89434
19.7,10.7867,1.94417,0.0875228,0.875228
19.8,10.7215,1.96582,0.068764,0.68764
19.9,10.6799,2.00668,0.0582856,0.582856
20,10.6816,1.99121,0.0155509,0.155509
20.1,10.7731,1.95371,0.0989588,0.989588
20.2,10.7561,1.95193,0.0171297,0.171297
20.3,10.704,1.99451,0.067308,0.67308
20.4,10.6563,2.03774,0.0643569,0.643569
20.5,10.6941,2.04571,0.0386221,0.386221
20.6,10.8068,2.11431,0.13196,1.3196
20.7,10.8778,2.26457,0.166177,1.66177
20.8,10.8928,2.2338,0.034262,0.34262
20.9,10.8855,2.20127,0.033335,0.33335
21,10.6031,2.09288,0.302535,3.02535
21.1,10.3432,2.13709,0.263641,2.63641
21.2,10.1866,2.17192,0.160401,1.60401
21.3,9.90153,2.20628,0.287108,2.87108
21.4,9.63482,2.13179,0.276918,2.76918
21.5,9.82269,2.12589,0.187958,1.87958
21.6,9.79866,2.12571,0.0240307,0.240307
21.7,9.81986,2.11164,0.0254499,0.254499
21.8,9.85482,2.07752,0.0488544,0.488544
21.9,9.90508,2.04842,0.0580712,0.580712
22,9.84601,1.93142,0.131067,1.31067
22.1,9.89948,1.86847,0.0826006,0.826006
22.2,9.993,1.85071,0.0951868,0.951868
22.3,10.0064,1.85367,0.0137102,0.137102
22.4,10.0174,1.85578,0.011247,0.11247
22.5,9.9913,1.85791,0.0262277,0.262277
22.6,10.0036,1.85035,0.014432,0.14432
22.7,10.0127,1.83829,0.0151392,0.151392
22.8,9.9999,1.83228,0.0141809,0.141809
22.9,9.92498,1.83058,0.0749427,0.749427
23,9.86361,1.836,0.0616071,0.616071
23.1,9.8603,1.9973,0.161337,1.61337
23.2,9.99058,2.30786,0.336772,3.36772
23.3,10.072,2.54062,0.246603,2.46603
23.4,10.2868,2.70669,0.271517,2.71517
23.5,10.4477,3.30661,0.621103,6.21103
23.6,10.4974,3.89143,0.586929,5.86929
23.7,10.5247,4.18489,0.29472,2.9472
23.8,10.4629,4.31324,0.142459,1.42459
23.9,10.4905,4.40332,0.0942169,0.942169
24,10.5635,4.61896,0.227653,2.27653
24.1,10.5896,4.69011,0.0757947,0.757947
24.2,10.5634,4.66007,0.0398521,0.398521
24.3,10.5983,4.54565,0.11964,1.1964
24.4,10.3961,3.71051,0.859273,8.59273
24.5,10.3317,3.73092,0.067588,0.67588
24.6,10.2769,3.78115,0.0743134,0.743134
24.7,10.2144,3.74642,0.0715349,0.715349
24.8,10.2308,3.50176,0.24521,2.4521
24.9,10.1456,3.40769,0.126924,1.26924
25,9.85527,3.43306,0.291404,2.91404
25.1,9.34458,3.66474,0.560786,5.60786
25.2,8.64721,3.78787,0.708155,7.08155
25.3,7.66851,3.0522,1.22436,12.2436
25.4,7.35444,2.77291,0.420293,4.20293
25.5,7.2606,2.87548,0.139022,1.39022
25.6,7.69133,3.19872,0.538518,5.38518
25.7,8.04972,3.12632,0.365633,3.65633
25.8,8.21846,2.86897,0.307734,3.07734
